NCAA NAME,TFRRS NAME
DePauw University,DePauw
DeSales University,DeSales
Dean College,Dean (Mass.)
Defiance College,Defiance
Delaware State University,Delaware State
Delaware Valley University,Delaware Valley
Delta State University,Delta St.
Denison University,Denison
Dickinson College,Dickinson
Dominican University (Illinois),Dominican (Ill.)
Dominican University New York,Dominican (N.Y.)
Dominican University of California,Dominican (Cal.)
Drake University,Drake
Drew University,Drew
Drexel University,!NONE
Drury University,Drury
Duke University,Duke
Duquesne University,Duquesne
Earlham College,Earlham
East Carolina University,East Carolina
East Central University,East Central
East Stroudsburg University of Pennsylvania,East Stroudsburg
East Tennessee State University,East Tenn. St.
East Texas Baptist University,East Texas Baptist
Eastern Connecticut State University,Eastern Conn. St.
Eastern Illinois University,Eastern Illinois
Eastern Kentucky University,Eastern Kentucky
Eastern Mennonite University,Eastern Mennonite
Eastern Michigan University,Eastern Michigan
Eastern Nazarene College,Eastern Nazarene
Eastern New Mexico University,Eastern New Mexico
Eastern University,Eastern
Eastern Washington University,Eastern Washington
Eckerd College,Eckerd
Edgewood College,Edgewood
Edward Waters University,Edward Waters
Elizabeth City State University,Elizabeth City St.
Elizabethtown College,Elizabethtown
Elmhurst University,Elmhurst
Elmira College,Elmira
Elms College,Elms College
Elon University,Elon
Embry-Riddle Aeronautical University (Florida),Embry-Riddle
Emerson College,Emerson
Emmanuel College (Georgia),Emmanuel (Ga.)
Emmanuel College (Massachusetts),Emmanuel (Mass.)
Emory & Henry College,Emory & Henry
Emory University,Emory
Emporia State University,Emporia St.
Endicott College,Endicott
Erskine College,Erskine
Eureka College,Eureka
Fairfield University,Fairfield
"Fairleigh Dickinson University, Florham",FDU-Florham
"Fairleigh Dickinson University, Metropolitan Campus",Fairleigh Dickinson
Fairmont State University,Fairmont State University
Farmingdale State College,Farmingdale St.
Fayetteville State University,Fayetteville St.
Felician University,Felician
Ferris State University,Ferris State
Ferrum College,Ferrum
Finlandia University,Finlandia
Fitchburg State University,Fitchburg St.
Flagler College,Flagler
Florida A&M University,Florida A&M
Florida Atlantic University,Florida Atlantic
Florida Gulf Coast University,Florida Gulf Coast
Florida Institute of Technology,Florida Tech
Florida International University,FIU
Florida Southern College,Florida Southern
Florida State University,Florida State
Fontbonne University,Fontbonne
Fordham University,Fordham
Fort Hays State University,Fort Hays St.
Fort Lewis College,Fort Lewis
Fort Valley State University,Fort Valley State
Framingham State University,Framingham St.
Francis Marion University,Francis Marion
Franciscan University of Steubenville,Franciscan (Ohio)
Franklin & Marshall College,Franklin & Marshall
Franklin College,Franklin
Franklin Pierce University,Franklin Pierce
Fresno Pacific University,Fresno Pacific
Frostburg State University,Frostburg State
Furman University,Furman
Gallaudet University,Gallaudet
Gannon University,Gannon
Gardner-Webb University,Gardner-Webb
Geneva College,Geneva
George Fox University,George Fox
George Mason University,George Mason
George Washington University,George Washington
Georgetown University,Georgetown
Georgia College,Georgia College
Georgia Institute of Technology,Georgia Tech
Georgia Southern University,Georgia Southern
Georgia Southwestern State University,Georgia Southwestern
Georgia State University,Georgia State
Georgian Court University,Georgian Court
Gettysburg College,Gettysburg
Glenville State University,Glenville St.
Goldey-Beacom College,Goldey-Beacom
Gonzaga University,Gonzaga
Gordon College,Gordon
Goucher College,Goucher
Grambling State University,Grambling
Grand Canyon University,Grand Canyon
Grand Valley State University,Grand Valley St.
Greensboro College,Greensboro
Greenville University,Greenville
Grinnell College,Grinnell
Grove City College,Grove City
Guilford College,Guilford
Gustavus Adolphus College,Gustavus Adolphus
Gwynedd Mercy University,Gwynedd-Mercy
Hamilton College,Hamilton
Hamline University,Hamline
Hampden-Sydney College,Hampden-Sydney
Hampton University,Hampton
Hanover College,Hanover
Hardin-Simmons University,Hardin-Simmons
Harding University,Harding
Hartwick College,Hartwick
Harvard University,Harvard
Haverford College,Haverford
Hawaii Pacific University,Hawaii Pacific
Heidelberg University,Heidelberg
Henderson State University,Henderson St.
Hendrix College,Hendrix
High Point University,High Point
Hilbert College,Hilbert
Hillsdale College,Hillsdale
Hiram College,Hiram
Hobart and William Smith Colleges,William Smith
Hofstra University,Hofstra
Hollins University,Hollins
Holy Family University,Holy Family
Holy Names University,Holy Names
Hood College,Hood
Hope College,Hope
Houghton University,Houghton
Houston Christian University,Houston Christian
Howard Payne University,!NONE
Howard University,Howard
Hunter College,Hunter
Huntingdon College,Huntingdon
Husson University,Husson
Idaho State University,Idaho State
Illinois College,Illinois College
Illinois Institute of Technology,Illinois Tech
Illinois State University,Illinois State
Illinois Wesleyan University,Illinois Wesleyan
Immaculata University,Immaculata
Indiana State University,Indiana State
Indiana University of Pennsylvania,Indiana (Pa.)
"Indiana University, Bloomington",Indiana
Indiana University-Purdue University Indianapolis,IUPUI
Iona University,Iona
Iowa State University,Iowa State
Ithaca College,Ithaca
Jackson State University,Jackson State
Jacksonville State University,Jacksonville St.
Jacksonville University,Jacksonville
James Madison University,James Madison
John Carroll University,John Carroll
John Jay College of Criminal Justice,John Jay
Johns Hopkins University,Johns Hopkins
Johnson & Wales University (Providence),Johnson & Wales (N.C.)
Johnson C. Smith University,Johnson C. Smith
Juniata College,Juniata
Kalamazoo College,Kalamazoo
Kansas State University,Kansas State
Kean University,Kean
Keene State College,Keene State
Kennesaw State University,Kennesaw State
Kent State University,Kent State
Kentucky State University,Kentucky State
Kentucky Wesleyan College,Kentucky Wesleyan
Kenyon College,Kenyon
Keuka College,Keuka
Keystone College,Keystone
King University,King
King's College (Pennsylvania),King's (Pa.)
Knox College,Knox
Kutztown University of Pennsylvania,Kutztown
La Roche University,La Roche
La Salle University,La Salle
LaGrange College,LaGrange
Lafayette College,Lafayette
Lake Erie College,Lake Erie
Lake Forest College,Lake Forest
Lake Superior State University,Lake Superior State
Lakeland University,Lakeland
Lamar University,Lamar
Lancaster Bible College,Lancaster Bible
Lander University,Lander
Lane College,Lane
Lasell University,Lasell
Lawrence University,Lawrence
Le Moyne College,Le Moyne
LeMoyne-Owen College,LeMoyne-Owen
LeTourneau University,LeTourneau
Lebanon Valley College,Lebanon Valley
Lee University,Lee (Tenn.)
Lees-McRae College,Lees-McRae
Lehigh University,Lehigh
Lehman College,Lehman
Lenoir-Rhyne University,Lenoir-Rhyne
Lesley University,Lesley
Lewis & Clark College,Lewis & Clark
Lewis University,Lewis
Liberty University,Liberty
Limestone University,Limestone
Lincoln Memorial University,Lincoln Memorial
Lincoln University (Missouri),Lincoln (Mo.)
Lincoln University (Pennsylvania),Lincoln (Pa.)
Lindenwood University,Lindenwood
Linfield University,Linfield
Lipscomb University,Lipscomb
Livingstone College,Livingstone
Lock Haven University of Pennsylvania,Lock Haven
Long Beach State University,Long Beach St.
Long Island University,LIU
Longwood University,Longwood
Loras College,Loras
Louisiana State University,LSU
Louisiana Tech University,Louisiana Tech
Loyola Marymount University,Loyola Marymount Universi
Loyola University Chicago,Loyola (Ill.)
Loyola University Maryland,Loyola (Md.)
Lubbock Christian University,Lubbock Christian
Luther College,Luther College
Lycoming College,Lycoming
Lynn University,Lynn
Lyon College,Lyon
Macalester College,Macalester
Maine Maritime Academy,Maine Maritime
Malone University,Malone
Manchester University,Manchester
Manhattan College,Manhattan
Manhattanville College,Manhattanville
Mansfield University of Pennsylvania,Mansfield
Maranatha Baptist University,Maranatha Baptist University
Marian University (Wisconsin),Marian (Wis.)
Marietta College,Marietta
Marist College,Marist
Marquette University,Marquette
Mars Hill University,Mars Hill
Marshall University,Marshall
Martin Luther College,Martin Luther
Mary Baldwin University,Mary Baldwin
Marymount University (Virginia),Marymount (Va.)
Maryville College (Tennessee),Maryville (Tenn.)
Maryville University of Saint Louis,Maryville (Mo.)
Marywood University,Marywood
Massachusetts College of Liberal Arts,Mass. Liberal Arts
Massachusetts Institute of Technology,MIT
Massachusetts Maritime Academy,Mass. Maritime
McDaniel College,McDaniel
McKendree University,McKendree
McMurry University,McMurry
McNeese State University,McNeese State
Medaille University,Medaille
Medgar Evers College,Medgar Evers
Mercer University,Mercer
Mercy College,Mercy
Mercyhurst University,Mercyhurst
Meredith College,Meredith
Merrimack College,Merrimack
Messiah University,Messiah
Methodist University,Methodist
Metropolitan State University of Denver,MSU Denver
Miami University (Ohio),Miami (Ohio)
Michigan State University,Michigan State
Michigan Technological University,Michigan Tech
Middle Tennessee State University,Mid. Tenn. State
Middlebury College,Middlebury
Midwestern State University,Midwestern St.
Miles College,Miles
Millersville University of Pennsylvania,Millersville
Millikin University,Millikin
Millsaps College,Millsaps
Milwaukee School of Engineering,MSOE
Minnesota State University Moorhead,MSU-Moorhead
"Minnesota State University, Mankato",Minnesota State
Minot State University,Minot State
Misericordia University,Misericordia
Mississippi College,Mississippi College
Mississippi State University,Miss State
Mississippi University for Women,Miss. Univ. for Women
Mississippi Valley State University,Mississippi Valley
Missouri Southern State University,Missouri Southern
Missouri State University,Missouri State
Missouri University of Science and Technology,Missouri S&T
Missouri Western State University,Missouri Western
Mitchell College,Mitchell
Molloy University,Molloy
Monmouth College (Illinois),Monmouth (Ill.)
Monmouth University,Monmouth
Montana State University Billings,MSU-Billings
Montana State University-Bozeman,Montana State
Montclair State University,Montclair State
Moravian University,Moravian
Morehead State University,Morehead State
Morehouse College,Morehouse
Morgan State University,Morgan State
Mount Aloysius College,Mount Aloysius
Mount Holyoke College,Mount Holyoke
Mount Mary University,Mount Mary
Mount Saint Mary College (New York),Mount Saint Mary
Mount St. Joseph University,Mount St. Joseph
Mount St. Mary's University,Mount St. Mary's
Muhlenberg College,Muhlenberg
Murray State University,Murray State
Muskingum University,Muskingum
Nazareth College,Nazareth
Nebraska Wesleyan University,Nebraska Wesleyan
Neumann University,Neumann
New England College,New England College
New Jersey City University,New Jersey City
New Jersey Institute of Technology,NJIT
New Mexico Highlands University,New Mexico Highlands
New Mexico State University,New Mexico St.
New York University,NYU
Newberry College,Newberry
Newman University,Newman
Niagara University,Niagara
Nicholls State University,Nicholls State
Nichols College,Nichols
Norfolk State University,Norfolk State
North Carolina A&T State University,N. Carolina A&T
North Carolina Central University,N.C. Central
North Carolina State University,NC State
North Carolina Wesleyan College,North Carolina Wesleyan
North Central College,North Central (Ill.)
North Central University,North Central (Minn.)
North Dakota State University,North Dakota State
North Greenville University,North Greenville
North Park University,North Park
Northeastern State University,!NONE
Northeastern University,Northeastern
Northern Arizona University,Northern Arizona
Northern Illinois University,Northern Illinois
Northern Kentucky University,Northern Kentucky
Northern Michigan University,Northern Michigan
Northern State University,Northern State
Northern Vermont University-Johnson,NVU-Johnson
Northern Vermont University-Lyndon,NVU-Lyndon
Northland College,Northland
Northwest Missouri State University,NW Missouri
Northwest Nazarene University,Northwest Nazarene
Northwestern Oklahoma State University,Northwestern Oklahoma
Northwestern State University,Northwestern St.
Northwestern University,Northwestern
Northwood University,Northwood
Norwich University,Norwich
Notre Dame College (Ohio),Notre Dame (Ohio)
Notre Dame of Maryland University,Notre Dame (Md.)
Nova Southeastern University,Nova Southeastern
Oakland University,Oakland
Oberlin College,Oberlin
Occidental College,Occidental
Oglethorpe University,Oglethorpe
Ohio Dominican University,Ohio Dominican
Ohio Northern University,Ohio Northern
Ohio University,Ohio
Ohio Wesleyan University,Ohio Wesleyan
Oklahoma Baptist University,Oklahoma Baptist
Oklahoma Christian University,Oklahoma Christian
Oklahoma State University,Oklahoma State
Old Dominion University,Old Dominion University
Olivet College,Olivet
Oral Roberts University,Oral Roberts
Oregon State University,Oregon State
Otterbein University,Otterbein
Ouachita Baptist University,Ouachita Baptist
Pace University,Pace
Pacific Lutheran University,Pacific Lutheran
Pacific University (Oregon),Pacific (Ore.)
Palm Beach Atlantic University,Palm Beach Atlantic
Penn State Berks College,PSU-Berks
Penn State Harrisburg,PSU-Harrisburg
"Penn State University, Abington",PSU-Abington
"Penn State University, Altoona",PSU-Altoona
Pennsylvania College of Technology,Penn College
"Pennsylvania State Univ. Erie, the Behrend College",PSU-Behrend
Pennsylvania State University,Penn State
"Pennsylvania Western University, California",California (Pa.)
"Pennsylvania Western University, Clarion",Clarion
"Pennsylvania Western University, Edinboro",Edinboro
Pepperdine University,Pepperdine
Pfeiffer University,Pfeiffer
Piedmont University,Piedmont
Pittsburg State University,Pittsburg St.
Plattsburgh State University of New York,Plattsburgh St.
Plymouth State University,Plymouth State
Point Loma Nazarene University,Point Loma
Pomona-Pitzer Colleges,Pomona-Pitzer
Portland State University,Portland State
Post University,Post
Prairie View A&M University,Prairie View
Pratt Institute,Pratt Institute
Presbyterian College,Presbyterian
Princeton University,Princeton
Principia College,Principia
Providence College,Providence
"Purchase College, State University of New York",Purchase
Purdue University,Purdue
Purdue University Fort Wayne,Purdue Fort Wayne
Purdue University Northwest,Purdue Northwest
Queens College (New York),Queens (N.Y.)
Queens University of Charlotte,Queens (N.C.)
Quincy University,Quincy
Quinnipiac University,Quinnipiac
Radford University,Radford
Ramapo College,Ramapo
Randolph College,Randolph
Randolph-Macon College,!NONE
Regis College (Massachusetts),Regis (Mass.)
Regis University (Colorado),Regis (Colo.)
Rensselaer Polytechnic Institute,RPI
Rhode Island College,RIC
Rhodes College,Rhodes College
Rice University,Rice
Rider University,Rider
Ripon College,Ripon
Rivier University,Rivier
Roanoke College,Roanoke
Robert Morris University,Robert Morris
Roberts Wesleyan University,Roberts Wesleyan
Rochester Institute of Technology,RIT
Rockford University,Rockford
Rockhurst University,Rockhurst
Roger Williams University,Roger Williams
Rogers State University,Rogers State
Rollins College,Rollins
Rose-Hulman Institute of Technology,Rose-Hulman
Rosemont College,Rosemont
Rowan University,Rowan
Russell Sage College,Sage
"Rutgers, The State Univ. of New Jersey, Camden",Rutgers-Camden
"Rutgers, The State Univ. of New Jersey, Newark",Rutgers-Newark
"Rutgers, The State University of New Jersey, New Brunswick",Rutgers
Sacred Heart University,Sacred Heart
Saginaw Valley State University,Saginaw Valley
Saint Anselm College,St. Anselm
Saint Augustine's University,St. Augustine's
Saint Elizabeth University,St. Elizabeth
Saint Francis University (Pennsylvania),Saint Francis
Saint John's University (Minnesota),St. John's (Minn.)
Saint Joseph's College (Maine),St. Joseph's (Me.)
Saint Joseph's University,St. Joseph's (Pa.)
Saint Leo University,Saint Leo
Saint Louis University,Saint Louis
Saint Martin's University,Saint Martin's
Saint Mary's College (Indiana),St. Mary's (Ind.)
Saint Mary's College of California,St. Mary's (Cal.)
Saint Mary's University of Minnesota,Saint Mary's (Minn.)
Saint Michael's College,St. Michael's
Saint Peter's University,St. Peter's
Saint Vincent College,St. Vincent (Pa.)
Salem College (North Carolina),Salem (N.C.)
Salem State University,Salem State University
Salem University (West Virginia),Salem (WV)
Salisbury University,Salisbury
Salve Regina University,Salve Regina
Sam Houston State University,Sam Houston
Samford University,Samford
San Diego State University,San Diego St.
San Francisco State University,San Francisco St.
San Jose State University,San Jose St.
Santa Clara University,Santa Clara
Sarah Lawrence College,Sarah Lawrence
Savannah State University,Savannah State
Schreiner University,Schreiner
Seattle Pacific University,Seattle Pacific
Seattle University,Seattle U.
Seton Hall University,Seton Hall
Seton Hill University,Seton Hill
Shaw University,Shaw
Shenandoah University,Shenandoah
Shepherd University,Shepherd
Shippensburg University of Pennsylvania,Shippensburg
Shorter University,Shorter
Siena College,Siena
Simmons University,Simmons
Simon Fraser University,Simon Fraser
Simpson College,Simpson (Iowa)
Skidmore College,!NONE
Slippery Rock University of Pennsylvania,Slippery Rock
Smith College,Smith College
Sonoma State University,Sonoma St.
South Carolina State University,South Carolina St.
South Dakota School of Mines & Technology,South Dakota Mines
South Dakota State University,South Dakota St.
Southeast Missouri State University,SE Missouri
Southeastern Louisiana University,SE Louisiana
Southeastern Oklahoma State University,Southeastern Oklahoma
Southern Arkansas University,Southern Arkansas
Southern Connecticut State University,So. Conn. St.
Southern Illinois University Edwardsville,SIU Edwardsville
Southern Illinois University at Carbondale,Southern Illinois
Southern Methodist University,SMU
Southern Nazarene University,Southern Nazarene
Southern New Hampshire University,SNHU
"Southern University, Baton Rouge",Southern
Southern Utah University,Southern Utah
Southern Virginia University,Southern Virginia
Southern Wesleyan University,Southern Wesleyan
Southwest Baptist University,Southwest Baptist
Southwest Minnesota State University,SW Minnesota St.
Southwestern Oklahoma State University,Southwestern Oklahoma
Southwestern University (Texas),Southwestern (Tex.)
Spalding University,Spalding
Spring Hill College,Spring Hill
Springfield College,Springfield
St. Bonaventure University,St. Bonaventure
St. Catherine University,St. Catherine (Minn.)
St. Cloud State University,St. Cloud State
St. Edward's University,St. Edward's
St. Francis College Brooklyn,St. Francis (N.Y.)
St. John Fisher University,St. John Fisher
St. John's University (New York),St. John's
"St. Joseph's University, NY (Brooklyn)",St. Joseph's (Bklyn)
"St. Joseph's University, New York L.I.",St. Joseph's (L.I.)
St. Lawrence University,St. Lawrence
St. Mary's College of Maryland,St. Mary's (Md.)
St. Mary's University (Texas),!NONE
St. Norbert College,St. Norbert
St. Olaf College,St. Olaf
St. Thomas Aquinas College,St. Thomas Aquinas
Stanford University,Stanford
State University of New York Maritime College,SUNY Maritime
State University of New York Polytechnic Institute,SUNY Poly
State University of New York at Brockport,Brockport St.
State University of New York at Canton,SUNY Canton
State University of New York at Cobleskill,SUNY Cobleskill
State University of New York at Cortland,Cortland St.
State University of New York at Delhi,SUNY Delhi
State University of New York at Geneseo,SUNY Geneseo
State University of New York at Morrisville,Morrisville
State University of New York at New Paltz,New Paltz St.
State University of New York at Old Westbury,Old Westbury
State University of New York at Oneonta,Oneonta
State University of New York at Oswego,Oswego State
State University of New York at Potsdam,Potsdam St.
Stephen F. Austin State University,Stephen F. Austin
Stetson University,Stetson
Stevens Institute of Technology,Stevens
Stevenson University,Stevenson
Stockton University,Stockton
Stonehill College,Stonehill
Stony Brook University,Stony Brook
Suffolk University,Suffolk
Sul Ross State University,Sul Ross St.
Susquehanna University,Susquehanna
Swarthmore College,Swarthmore
Sweet Briar College,Sweet Briar
Syracuse University,Syracuse
Tarleton State University,Tarleton State
Temple University,Temple
Tennessee State University,Tennessee St.
Tennessee Technological University,Tennessee Tech
Texas A&M International University,Texas A&M-Int'l
"Texas A&M University, College Station",Texas A&M
Texas A&M University-Commerce,TAMU-Commerce
Texas A&M University-Corpus Christi,Texas A&M-CC
Texas A&M University-Kingsville,TAMU-Kingsville
Texas Christian University,TCU
Texas Lutheran University,Texas Lutheran
Texas Southern University,Texas Southern
Texas State University,Texas State
Texas Tech University,Texas Tech
Texas Woman's University,!NONE
The Citadel,Citadel
The City College of New York,CCNY
The College of New Jersey,TCNJ
The College of Saint Rose,Saint Rose
The College of St. Scholastica,St. Scholastica
The College of Wooster,Wooster
The Ohio State University,Ohio State
The State University of New York at Fredonia,Fredonia
The University of North Carolina at Charlotte,Charlotte
The University of North Carolina at Greensboro,UNC-Greensboro
The University of Southern Mississippi,Southern Miss.
The University of Texas Rio Grande Valley,UT-Rio Grande Valley
The University of Texas at Tyler,UT-Tyler
The University of Tulsa,Tulsa
The University of Virginia's College at Wise,UVA-Wise
Thiel College,Thiel
Thomas College,Thomas College
Thomas Jefferson University,Jefferson (Pa.)
Thomas More University,Thomas More
Tiffin University,Tiffin
Towson University,Towson
Transylvania University,Transylvania
Trevecca Nazarene University,Trevecca Nazarene
Trine University,Trine
Trinity College (Connecticut),Trinity (Conn.)
Trinity University (Texas),Trinity (Tex.)
Trinity Washington University,Trinity Washington
Troy University,Troy
Truman State University,Truman
Tufts University,Tufts
Tulane University,Tulane
Tusculum University,Tusculum
Tuskegee University,Tuskegee
U.S. Air Force Academy,Air Force
U.S. Coast Guard Academy,Coast Guard
U.S. Merchant Marine Academy,USMMA
U.S. Military Academy,Army West Point
U.S. Naval Academy,Navy
Union College (New York),Union (N.Y.)
Union University,Union (Tenn.)
University at Albany,Albany
"University at Buffalo, the State University of New York",Buffalo
University of Akron,Akron
University of Alabama,Alabama
University of Alabama at Birmingham,UAB
University of Alabama in Huntsville,Alabama-Huntsville
University of Alaska Anchorage,Alaska Anchorage
University of Alaska Fairbanks,Alaska Fairbanks
University of Arizona,Arizona
University of Arkansas at Little Rock,Little Rock
"University of Arkansas, Fayetteville",Arkansas
"University of Arkansas, Fort Smith",UA-Fort Smith
"University of Arkansas, Monticello",Arkansas-Monticello
"University of Arkansas, Pine Bluff",Arkansas-Pine Bluff
University of Bridgeport,Bridgeport
"University of California, Berkeley",California
"University of California, Davis",UC Davis
"University of California, Irvine",UC Irvine
"University of California, Los Angeles",UCLA
"University of California, Riverside",UC Riverside
"University of California, San Diego",UC San Diego
"University of California, Santa Barbara",UC Santa Barbara
"University of California, Santa Cruz",UC Santa Cruz
University of Central Arkansas,Central Arkansas
University of Central Florida,UCF
University of Central Missouri,Central Missouri
University of Central Oklahoma,Central Oklahoma
University of Charleston (West Virginia),Charleston (W.V.)
University of Chicago,U. of Chicago
University of Cincinnati,Cincinnati
"University of Colorado, Boulder",Colorado
"University of Colorado, Colorado Springs",UC-Colo. Spgs.
University of Connecticut,Connecticut
University of Dallas,Dallas
University of Dayton,Dayton
University of Delaware,Delaware
University of Denver,Denver
University of Detroit Mercy,Detroit Mercy
University of Dubuque,Dubuque
University of Evansville,Evansville
University of Findlay,Findlay
University of Florida,Florida
University of Georgia,Georgia
University of Hartford,Hartford
University of Hawaii at Hilo,Hawaii
"University of Hawaii, Manoa",Hawaii-Hilo
University of Houston,Houston
University of Idaho,Idaho
University of Illinois Chicago,Illinois-Chicago
University of Illinois Urbana-Champaign,Illinois
University of Illinois at Springfield,Illinois-Springfield
University of Indianapolis,Indianapolis
